"advertiserId","programName","conversionRate","confirmationRate","approvalTime","epc","confirmationTime","joinDate","paymentStatus","adRank","feedEnabled","parentSectors","subSectors","clickMin","clickMax","leadMin","leadMax","saleMin","saleMax","salePercentageMin","salePercentageMax"
"17706","Pixartprinting BE: Migrated 07/02/2018","0","0 / 0","0","0.00","0","2016-06-30 00:00:00",,"0","no","Retail & Shopping","Gadgets|Photos & Print Services","","","","","1","10","0","0"
"17707","Pixartprinting CH: Migrated 07/02/2018","0","0 / 0","0","0.00","0","2016-06-30 00:00:00",,"0","no","Retail & Shopping","Gadgets|Photos & Print Services","","","","","1","10","0","0"
"16178","Boden AU: Migrated 07/12/2017","0","0 / 0","0","0.00","0","2015-01-26 00:00:00",,"0","yes","Retail & Shopping","Clothing|Clothing Accessories","","","","","","","3","15"
"16179","Boden FR","0","0 / 0","0","0.00","0","2015-01-26 00:00:00",,"0","yes","Retail & Shopping","Clothing|Clothing Accessories","","0.22","","","","","0","15"
"16180","Boden NL: Migrated 07/12/2017","0","0 / 0","0","0.00","0","2015-01-26 00:00:00",,"0","no","Retail & Shopping","Clothing","","","","","","","3","15"
"15973","Gaslicht.com NL","0","0 / 0","0","0.00","0","2015-01-29 00:00:00",,"0","no","Telco's & Services","Utilities","0","0","0","0","0","0","0","0"
"16084","Victoria Milan ES","0","0 / 0","0","0.00","0","2015-05-28 00:00:00",,"0","no","Telco's & Services","Dating","","","","","40","50","0","0"
"16085","Victoria Milan DE","0","0 / 0","0","0.00","0","2015-05-28 00:00:00",,"0","no","Telco's & Services","Dating","","","","","40","70","0","0"
"16090","Victoria Milan FR","0","0 / 0","0","0.00","0","2015-05-28 00:00:00",,"0","no","Telco's & Services","Dating","","","","","40","50","0","0"
"6859","Vertbaudet ES","0","0 / 0","0","0.00","0","2015-03-18 00:00:00",,"0","yes","Retail & Shopping","Baby & Toddler","","","","","","","7","9"
"9843","UGG DE: Migrated 17/10/2017","0","55.6 / 0","0","0.00","0","2015-05-13 00:00:00",,"0","yes","Retail & Shopping","Shoes","","","","","","","8","8"
"16205","tripz DE - migrated","0","0 / 0","0","0.00","0","2015-04-07 00:00:00",,"0","yes","Travel","Hotels & Accommodation|Local Holidays|Tourism & Attractions|Travel Agencies","","","","","","","6","6"
"18063","HSN Store PT","0","0 / 0","0","0.00","0","2016-05-11 00:00:00",,"0","yes","Retail & Shopping","Health & Beauty","","","","","","","5","10"
"18087","Claudie Pierlot FR","0","0 / 0","0","0.00","0","2016-06-20 00:00:00",,"0","no","Retail & Shopping","Clothing|Clothing Accessories|Shoes|Womenswear","","","","","","","10","10"
"15405","bitiba.DE - migrated","0","0 / 0","0","0.00","0","2014-06-15 00:00:00",,"0","yes","Retail & Shopping","Pets & Pet Care","","","","","","","4","4"
"16229","Big Green Smile NL: Migrated 19/07/2017","0","0 / 0","0","0.00","0","2015-03-19 00:00:00",,"0","yes","Retail & Shopping","Health & Beauty","","","","","","","8","12"
"16230","Big Green Smile DE: Migrated 19/07/2017","0","0 / 0","0","0.00","0","2015-03-25 00:00:00",,"0","yes","Retail & Shopping","Green (Eco friendly)|Health & Beauty","","","","","","","8","12"
"16231","Big Green Smile FR","0","100 / 0","0","0.00","0","2015-03-19 00:00:00",,"0","yes","Retail & Shopping","Green (Eco friendly)|Health & Beauty","","","","","","","8","12"
"16237","Looking4Parking IT: migrated 26.09.2017","0","0 / 0","0","0.00","0","2016-09-07 00:00:00",,"0","no","Travel","Airport Parking & Transfers","","","","","","","5","5"
"16238","Looking4Parking FR: migrated","0","0 / 0","0","0.00","0","2016-09-07 00:00:00",,"0","no","Travel","Airport Parking & Transfers","","","","","","","5","5"
"16239","Looking4Parking DE: migrated 26.09.2017","0","0 / 0","0","0.00","0","2016-09-20 00:00:00",,"0","no","Travel","Airport Parking & Transfers","","","","","","","5","5"
"16240","Looking4Parking ES: migrated 26.09.2017","0","0 / 0","0","0.00","0","2016-09-20 00:00:00",,"0","no","Travel","Airport Parking & Transfers","","","","","","","5","5"
"16134","My Money Bank FR","0","0 / 0","0","0.00","0","2015-03-02 00:00:00",,"0","no","Finance & Insurance","Lead Gen","0","0","0","0","0","0","0","0"
"15791","Fornarina IT","0","0 / 0","0","0.00","0","2015-02-16 00:00:00",,"0","no","Retail & Shopping","Clothing|Clothing Accessories|Menswear|Shoes|Womenswear","","","","","","","9","9"
"15925","La Stampa IT","0.2","97.2 / 0","45","0.00","151","2015-03-09 00:00:00",,"0","no","Retail & Shopping","Books & Subscriptions","","","","","1.53","1.53","15.4","15.4"
"16066","Bulk Powders DE","0","0 / 0","0","0.00","0","2014-12-09 00:00:00",,"0","yes","Retail & Shopping","Health & Beauty","","","","","","","3","15"
"16067","Bulk Powders IT","0","0 / 0","0","0.00","0","2014-12-09 00:00:00",,"0","yes","Retail & Shopping","Health & Beauty","","","","","","","3","15"
"16259","IronMaxx DE - migrated","0","0 / 0","0","0.00","0","2015-05-26 00:00:00",,"0","yes","Retail & Shopping","Health & Beauty|Sports Equipment","","","","","","","4","10"
"16279","Mey DACH - migrated","0","100 / 0","0","0.00","0","2015-03-31 00:00:00",,"0","yes","Retail & Shopping","Clothing|Lingerie|Menswear|Womenswear","","","","","","","7","7"
"16209","Under Armour NL","0","0 / 0","0","0.00","0","2015-02-25 00:00:00",,"0","no","Retail & Shopping","Sportswear","","","","","","","8","8"
"16297","The Dungeons NL","0","0 / 0","0","0.00","0","2015-04-28 00:00:00",,"0","no","Travel","Tourism & Attractions","","","","","","","8","8"
"16304","SEA LIFE FI","0","0 / 0","0","0.00","0","2015-11-10 00:00:00",,"0","no","Travel","Tourism & Attractions","","","","","","","8","8"
"16310","SEA LIFE ES","0","0 / 0","0","0.00","0","2015-04-16 00:00:00",,"0","no","Travel","Tourism & Attractions","","","","","","","8","8"
"16311","SEA LIFE BE","0","0 / 0","0","0.00","0","2015-02-24 00:00:00",,"0","no","Travel","Tourism & Attractions","","","","","","","8","8"
"16330","Spotcap NL","0","0 / 0","0","0.00","0","2015-04-12 00:00:00",,"0","no","Finance & Insurance","Loans","","","25","25","","","0","0"
"16366","Clinique DE - migrated","0","99.8 / 0","0","0.00","0","2015-05-05 00:00:00",,"0","yes","Retail & Shopping","Health & Beauty","","","","","","","6","10"
"16248","CLARISONIC ES - closed 09.03.2018","0","0 / 0","0","0.00","0","2015-03-05 00:00:00",,"0","no","Retail & Shopping","Health & Beauty","","","","","","","5.4","10"
"16372","calumetphoto DE - migrated","0","0 / 0","0","0.00","0","2015-03-05 00:00:00",,"0","yes","Retail & Shopping","Electronic Accessories|Electronic Superstore|Photography","","","","","","","2","5"
"16215","Vestiaire Collective DE: Migrated 06/11/2017","0","0 / 0","0","0.00","0","2015-03-10 00:00:00",,"0","yes","Retail & Shopping","Clothing|Clothing Accessories|Menswear|Shoes|Womenswear","0","0","0","0","0","0","0","0"
"16216","Vestiaire Collective ES: Migrated 06/11/2017","0","0 / 0","0","0.00","0","2015-03-10 00:00:00",,"0","yes","Retail & Shopping","Clothing|Clothing Accessories|Menswear|Shoes|Womenswear","","","","","","","10","12"
"16217","Vestiaire Collective IT: Migrated 06/11/2017","0","0 / 0","0","0.00","0","2015-03-10 00:00:00",,"0","yes","Retail & Shopping","Clothing|Clothing Accessories","0","0","0","0","0","0","0","0"
"16395","Strellson BE: Migrated 08/08/2017","0","0 / 0","0","0.00","0","2015-06-08 00:00:00",,"0","yes","Retail & Shopping","Clothing|Clothing Accessories|Menswear","","","","","","","7","9"
"16396","Strellson FR: Migrated","0","0 / 0","0","0.00","0","2015-06-08 00:00:00",,"0","yes","Retail & Shopping","Clothing","","","","","","","7","9"
"16397","Strellson NL: Migrated 08/08/2017","0","0 / 0","0","0.00","0","2015-06-08 00:00:00",,"0","no","Retail & Shopping","Clothing","","","","","","","7","9"
"16298","Dr_Pierre_Ricaud_FR - Migration on 29/08/2017","0","0 / 0","0","0.00","0","2015-03-12 00:00:00",,"0","yes","Retail & Shopping","Health & Beauty","0","0","0","0","0","0","0","0"
"16474","Tripadvisor NL: Migrated 08/11/2017","0","0 / 0","0","0.00","0","2015-05-12 00:00:00",,"0","no","Travel","Airport Parking & Transfers|Hotels & Accommodation","","","","","","","50","80"
"16435","Madeleine FR - migration on 18/10/2016","0","0 / 0","0","0.00","0","2015-05-28 00:00:00",,"0","yes","Retail & Shopping","Womenswear","0","0","0","0","0","0","0","0"
"16281","SmartBuyGlasses DE","0","100 / 0","0","0.00","0","2015-04-29 00:00:00",,"0","yes","Retail & Shopping","Clothing Accessories","","","","","","","5","7"
"16282","SmartBuyGlasses CH","0","100 / 0","0","0.00","0","2015-04-29 00:00:00",,"0","yes","Retail & Shopping","Clothing Accessories","","","","","","","5","7"
"16283","Easy Lunettes FR","0","0 / 0","0","0.00","0","2015-04-29 00:00:00",,"0","yes","Retail & Shopping","Clothing Accessories","","","","","","","5","7"
"16284","Gafas World ES","0","100 / 0","0","0.00","0","2015-04-29 00:00:00",,"0","yes","Retail & Shopping","Clothing Accessories","","","","","","","5","7"
"16285","SmartBuyGlasses NL","0","100 / 0","0","0.00","0","2015-04-29 00:00:00",,"0","no","Retail & Shopping","Clothing Accessories","","","","","","","5","7"
"16286","SmartBuyGlasses IT","0","100 / 0","0","0.00","0","2015-04-29 00:00:00",,"0","yes","Retail & Shopping","Clothing Accessories","","","","","","","5","7"
"16287","SmartBuyGlasses DK","0","100 / 0","0","0.00","0","2015-04-29 00:00:00",,"0","yes","Retail & Shopping","Clothing Accessories","","","","","","","5","7"
"16288","SmartBuyGlasses SE","0","100 / 0","0","0.00","0","2015-04-29 00:00:00",,"0","yes","Retail & Shopping","Clothing Accessories","","","","","","","5","7"
"16289","SmartBuyGlasses BE","0","100 / 0","0","0.00","0","2015-04-29 00:00:00",,"0","yes","Retail & Shopping","Clothing Accessories","","","","","","","5","7"
"16290","SmartBuyGlasses NO","0","100 / 0","0","0.00","0","2015-04-29 00:00:00",,"0","yes","Retail & Shopping","Clothing Accessories","","","","","","","5","7"
"16423","Zavvi FR","0","0 / 0","0","0.00","0","2015-04-13 00:00:00",,"0","yes","Retail & Shopping","Electronic Superstore|Entertainment Superstore|Gifts & Flowers|Music & DVD|PC & Video Games","","","","","7","21","1","6"
"16428","Gotogate ES: migrated 27.09.2017","0","0 / 0","0","0.00","0","2015-07-30 00:00:00",,"0","no","Travel","Airlines|Car Rental|Hotels & Accommodation|Local Holidays","0","0","0","0","0","0","0","0"
"16429","Gotogate FR: migrated","0","0 / 0","0","0.00","0","2015-07-30 00:00:00",,"0","no","Travel","Airlines|Car Rental|Hotels & Accommodation|Local Holidays","0","0","0","0","0","0","0","0"
