Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
Hotelopia (FR),http://www.hotelopia.fr,"
    Travel",Travel/Accommodation_and_Hotels,34122,France - 66.65,Congo - 7.69,Tunisia - 7.29,Morocco - 6.76,Belgium - 5.47,1660371,106516,10382
HomeExchange (FR),https://www.homeexchange.fr,"
    Travel",Business_and_Industry/Real_Estate,843070,France - 86.95,Switzerland - 4.00,Belgium - 2.38,Canada - 2.29,Colombia - 0.62,76471,3103,576
Iberostar (FR),http://marketing.net.iberostar.com,"
    Travel",Unknown,11451,,,,,,,,
Ideecadeau (FR),http://www.ideecadeau.fr,"
    Shopping & Retail",Business_and_Industry,629234,France - 87.78,Belgium - 2.69,Tunisia - 1.26,Monaco - 1.18,Morocco - 1.14,196308,8277,16558
InkClub.com (FR),http://www.inkclub.com,"
    Computers & Electronics, Shopping & Retail",Computer_and_Electronics/Computer_Hardware,745644,Sweden - 34.67,Norway - 17.59,Finland - 15.96,Denmark - 13.62,Estonia - 3.41,127441,3487,162
HP Store (FR),https://store.hp.com,"
    Computers & Electronics",Unknown,23279463,United States - 41.56,United Kingdom - 7.50,Germany - 6.03,France - 5.98,Italy - 4.48,,,
Kelkoo (FR),https://www.kelkoogroup.com,"
    Computers & Electronics, Shopping & Retail, Travel",Unknown,82463,Spain - 32.61,United Kingdom - 18.18,France - 12.36,Italy - 11.54,Germany - 8.20,724992,50906,
iDeal Of Sweden (FR),https://idealofsweden.fr,"
    Fashion, Shopping & Retail",Unknown,31290,France - 94.86,Belgium - 3.83,Canada - 1.31,,,1003277,43928,
"L'avant Gardiste",https://www.lavantgardiste.com,"
    Shopping & Retail",Business_and_Industry/Marketing_and_Advertising,448382,France - 92.05,Belgium - 1.95,United States - 1.04,Canada - 0.76, - 0.64,207452,8757,1500
"L'HOMME MODERNE",https://www.lhommemoderne.fr,"
    Shopping & Retail",Shopping/Clothing,624253,France - 95.33,Belgium - 2.23,United Kingdom - 0.71,Switzerland - 0.40,Turkey - 0.35,121865,4656,1742
Kavehome (FR),https://kavehome.com,"
    Home & Garden",Shopping/Furniture,1255975,Spain - 44.37,France - 27.43,Italy - 14.78,Netherlands - 5.51,Belgium - 2.38,81583,3849,62
"Leon's Corner (FR)",https://www.leonscorner.com,"
    Home & Garden, Shopping & Retail",Adult,7661,France - 82.50,Belgium - 6.00,Italy - 4.12,United Arab Emirates - 3.83,Canada - 3.55,3597916,190472,78742
Laurakent (FR),http://www.laurakent.fr,"
    Shopping & Retail",Shopping/Clothing,324969,France - 97.03,Belgium - 0.73,United Kingdom - 0.71,United States - 0.58,Switzerland - 0.38,167884,6580,2299
Le Coq Sportif (FR),https://www.lecoqsportif.com,"
    Shopping & Retail",Shopping/Clothing,539263,France - 45.21,Brazil - 5.46,Spain - 5.29,Poland - 4.78,Argentina - 4.57,175738,15234,2397
Louvre Hotels – Kyriad Campanile Première classe (FR),https://www.louvrehotels.com,"
    Travel",Travel/Accommodation_and_Hotels,46503,France - 53.51,Spain - 7.38,United Kingdom - 6.22,United Arab Emirates - 4.59,India - 4.13,1563699,128535,9560
Lufthansa (FR),https://www.lufthansa.com,"
    Travel",Travel/Airlines_and_Airports,20731367,Germany - 34.38,United States - 11.50,France - 4.71,Italy - 3.93,Poland - 3.87,4645,457,24
Locatour (FR),http://www.locatour.com,"
    Sports & Recreation, Travel",Travel/Accommodation_and_Hotels,760731,France - 93.08,Belgium - 2.19,Switzerland - 0.66,Netherlands - 0.37,Canada - 0.35,134342,5290,576
LOccitane FR,https://fr.loccitane.com,"
    Health & Beauty",Unknown,682581,France - 90.51,Germany - 1.05,Reunion - 0.66,Brazil - 0.65,United States - 0.60,,,
M6 Boutique (FR),https://www.m6boutique.com,"
    Health & Beauty, Shopping & Retail, Home & Garden",Shopping,1189375,France - 97.31,Belgium - 0.46,Luxembourg - 0.32, - 0.29,Martinique - 0.22,84272,3070,6053
