Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
Zooplus FR,http://www.zooplus.fr,Retail & Shopping,Pets_and_Animals/Animal_Products_and_Service,3899059,France - 93.90,Belgium - 1.31,Switzerland - 1.18,Georgia - 0.94,United Kingdom - 0.38,19512,651,7
notebooksbilliger.de DE - migrated,http://www.notebooksbilliger.de,Retail & Shopping,Shopping/Consumer_Electronics,13424782,Germany - 91.33,Austria - 2.96,Switzerland - 1.07,Netherlands - 0.44,France - 0.27,6942,244,67
pneumatikypriamo.com SK,http://www.pneumatikypriamo.com,Retail & Shopping,Autos_and_Vehicles,25721,Slovakia - 93.44,Austria - 4.75,Ukraine - 1.81,,,1366159,18541,27241
zooplus - Mein Haustiershop - migrated,http://www.zooplus.de,Retail & Shopping,Pets_and_Animals/Animal_Products_and_Service,6025918,Germany - 83.91,Austria - 4.98,Poland - 2.44,Switzerland - 1.14,Estonia - 0.94,14228,582,5
Europäische Fernhochschule Hamburg- migrated,http://www.euro-fh.de,"Telco's & Services",Career_and_Education/Education,246349,Germany - 86.93,Switzerland - 3.69,Austria - 1.81,Slovakia - 1.40,Iraq - 1.27,339368,27808,10417
ReifenDirekt CO.EE,http://www.reifendirekt.co.ee,Retail & Shopping,Autos_and_Vehicles/Automotive_Industry,35810,Estonia - 91.17,Finland - 8.45,Russian Federation - 0.38,,,1053070,1880,2517
mona AT - migrated,http://www.mona-mode.at,Retail & Shopping,Shopping/Clothing,34206,Austria - 79.05,Germany - 20.95,,,,892109,7236,9365
NiceBeauty.com DE: Migrated 02/08/2017,http://www.nicebeauty.com,Retail & Shopping,Beauty_and_Fitness/Beauty,313769,Netherlands - 31.52,Germany - 28.60,Norway - 11.60,Belgium - 3.51,Denmark - 3.01,306307,15150,285
exklusive-geldanlagen.de - migrated,https://www.exklusive-geldanlagen.de,Finance & Insurance,Business_and_Industry/Marketing_and_Advertising,11685,Germany - 93.35,Romania - 4.41,Finland - 2.24,,,5471300,371133,88197
TripAdvisor IT: Migrated 08/11/2017,http://www.tripadvisor.it,Travel,Travel/Tourism,49082038,Italy - 93.49,France - 0.81,Germany - 0.70,United Kingdom - 0.70,Spain - 0.54,1016,25,5
House-of-GerryWeber.de - migrated,http://www.house-of-gerryweber.de,Retail & Shopping,Shopping/Clothing,541244,Germany - 82.45,Netherlands - 10.14,Switzerland - 2.54,Austria - 1.66,Sweden - 1.55,256500,18954,3320
Schäfer Shop - Bürobedarf DE - migrated,http://www.schaefer-shop.de,Retail & Shopping,Business_and_Industry,526197,Germany - 94.24,Switzerland - 1.12,Netherlands - 0.85,United Kingdom - 0.70,France - 0.56,160576,7821,12948
