Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
DamacHotelsandResorts.com,https://www.damachotelsandresorts.com,Travel and holidays,Unknown,18176,United Arab Emirates - 52.76,United Kingdom - 13.72,Saudi Arabia - 6.84,France - 6.11,Austria - 4.43,3477145,68417,
DbHotelsResorts.com,https://www.dbhotelsresorts.com,Travel and holidays,Travel/Accommodation_and_Hotels,48739, - 34.14,France - 21.53,United Kingdom - 17.12,Germany - 8.24,Portugal - 3.84,1178354,2488,6444
Dealbanana.co.uk ,http://www.dealbanana.co.uk,Department stores,Unknown,601,United Kingdom - 100.00,,,,,21723627,1703634,
DealeXtreme,http://www.dx.com,Gifts and gadgets,Shopping/Consumer_Electronics,11997534,Brazil - 21.18,United States - 7.57,Turkey - 5.56,Argentina - 5.34,Spain - 4.75,8586,1752,83
Dennisdeal.com,https://www.dennisdeal.com,Daily offers and group deals,Unknown,354422,Netherlands - 78.58,Belgium - 15.39,United States - 1.24,Greece - 1.21,Switzerland - 0.79,286490,6249,
Desigual.com,http://www.desigual.com,Fashion and jewelry,Shopping/Clothing,5286653,Spain - 22.43,France - 20.69,Italy - 10.28,Germany - 9.51,Poland - 4.98,16164,1133,224
Dhgshop.it,https://www.dhgshop.it,Hobby and leisure time,Business_and_Industry,59310,Austria - 20.97,Russian Federation - 20.52,Italy - 19.16,United States - 6.89,Slovakia - 5.05,1155105,102583,136635
DiamondResortsandHotels.com,https://www.diamondresortsandhotels.com,Travel and holidays,Business_and_Industry,471574,United States - 77.28,United Kingdom - 8.21,Canada - 4.15,Italy - 1.60,France - 1.52,162463,44109,13154
DerbyHotels.com,https://www.derbyhotels.com,Travel and holidays,Travel/Accommodation_and_Hotels,56194,Spain - 28.86,United Kingdom - 12.50,Portugal - 12.05,United States - 10.97,France - 7.29,1164296,108561,6345
Divan.com,https://www.divan.com.tr,Travel and holidays,Business_and_Industry,168533,Turkey - 89.88,United States - 2.25,Switzerland - 1.09,Iraq - 1.09,Germany - 0.82,442663,12860,43811
Divoza Horseworld,https://www.divoza.com,Sport and recreation,Pets_and_Animals/Horses,343072,Netherlands - 66.85,Belgium - 10.35,Germany - 3.65,United States - 3.22,France - 2.39,278330,7961,65
Dreamplacehotels.com,https://www.dreamplacehotels.com,Travel and holidays,Travel/Accommodation_and_Hotels,224572,Spain - 36.00,United Kingdom - 15.14,Poland - 8.97,Netherlands - 7.96,France - 6.74,433068,27712,2080
Displate.com,https://displate.com,Art and living,Arts_and_Entertainment,5472449,United States - 18.34,Germany - 9.14,United Kingdom - 7.38,Poland - 7.07,France - 3.44,16366,11429,1533
Drome.co.uk,https://www.drome.co.uk,Fashion and jewelry,Shopping/Clothing,153706,United Kingdom - 72.62,United States - 5.83,China - 4.09,France - 1.93,Finland - 1.93,408339,33103,4943
Dokteronline.com,https://www.dokteronline.com,Health and beauty,Health/Pharmacy,847252,Germany - 40.46,Netherlands - 14.55,France - 10.64,Sweden - 3.50,Belgium - 3.49,123839,13806,49
Edenhotels.it,https://edenhotels.it,Travel and holidays,Travel/Accommodation_and_Hotels,8762,Italy - 61.76,Switzerland - 23.68,United Kingdom - 14.55,,,4100758,208346,39346
Dresslily.com,https://www.dresslily.com,Fashion and jewelry,Shopping/Clothing,7741626,United States - 30.75,France - 7.33,United Kingdom - 6.97,Russian Federation - 5.36,Germany - 4.20,12909,4840,172
Efteling.com,https://www.efteling.com,Travel and holidays,Travel/Accommodation_and_Hotels,1764166,Netherlands - 56.29,Belgium - 18.90,Germany - 8.60,United Kingdom - 4.12,France - 2.92,60116,1255,241
Emirates UK,https://www.emirates.com,Travel and holidays,Travel/Airlines_and_Airports,29087314,United Arab Emirates - 19.30,United States - 10.73,United Kingdom - 8.14,India - 4.93,Saudi Arabia - 4.01,2924,38,14
